station,serial,deploy_datetime,retrieve_datetime,comment
I80,7450-340250,10/10/2025 16:00,12/16/2025 10:00,Still wet
TER,7450-269688,11/18/2025 14:00,1/27/2026 10:00,Dry
SB4,7450-213022,12/18/2025 9:00,2/2/2026 12:00,Dry
