Sorter,Category,Taxa_identified,Common_name,Group_family,Group_finescale,Group_guts,Group_zoop,Group_Matt_simple,Group_Granular,Group_manuscript,Group_Broad,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Genus,Species,Body_size_mm,Size_class,mass_ug,Biomass_citation,Indicator_species,Traits,Citations,Comment
4,Other,larvalfish,Fish,Actinopterygii,larvalfish,Rare,Rare,Rare,Rare,Rare,Rare,Chordata,NA,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,hydra,NA,Hydrozoa,Hydridae,Rare,Rare,Rare,Rare,Rare,Rare,Cnidaria,NA,Hydrozoa,NA,Anthoathecata,NA,Hydridae,Hydra,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,gastropoda,Snails and slugs,Gastropoda,gastropoda,Rare,Rare,Rare,Rare,Rare,Rare,Mollusca,NA,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,nematoda,Nematode,Nematoda,nematoda,Rare,Rare,Nematoda,Rare,Worm,Rare,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,tardigrada,Water bear,Tardigrada,Tardigrada,Rare,Rare,Rare,Rare,Rare,Rare,Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,tardigrade,Water bear,Tardigrada,Tardigrada,Rare,Rare,Rare,Rare,Rare,Rare,Tardigrade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,ambigua,NA,ambigua,ambigua,Rare,Rare,Rare,Rare,Rare,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Small Cladoceran,embryo,NA,embryo,embryo,Rare,Rare,Rare,Rare,Rare,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,bivalvia,molluscs,bivalvia,bivalvia,Rare,Rare,Rare,Rare,Rare,Rare,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,pelecypoda,molluscs,bivalvia,bivalvia,Rare,Rare,Rare,Rare,Rare,Rare,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,lithiomorpha,Centipedes,Lithiomorpha,lithiomorpha,Rare,Rare,Rare,Rare,Rare,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Other,Unknown,Unknown,Unknown,Unknown,Rare,Rare,Rare,Rare,Rare,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Other,unknown,unknown,unknown,unknown,Rare,Rare,Rare,Rare,Rare,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
